epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14192,0.80866,0.75307,1.21246,0.71924,0.84434,0.7798,0.63307,0.97072,1.15443,1.36779,0.00107205,0.00107205,0.00107205
43,14675.5,0.82201,0.76992,1.21121,0.752,0.84906,0.79071,0.63473,0.95646,1.14708,1.37409,0.00104705,0.00104705,0.00104705
44,15183.3,0.82197,0.75676,1.21478,0.79373,0.8078,0.78963,0.63685,1.00982,1.12858,1.40516,0.00102184,0.00102184,0.00102184
45,15640.7,0.81619,0.7644,1.21567,0.77598,0.79245,0.75902,0.60593,1.05358,1.3204,1.45503,0.000996456,0.000996456,0.000996456
46,16130.5,0.79906,0.7325,1.20999,0.77805,0.8066,0.81037,0.64983,1.04429,1.06999,1.44963,0.000970919,0.000970919,0.000970919
47,16712.4,0.76849,0.70308,1.17552,0.80438,0.79863,0.80688,0.66147,1.03857,1.10458,1.43873,0.000945256,0.000945256,0.000945256
48,17312.2,0.77839,0.71146,1.17669,0.75607,0.79692,0.78019,0.62788,1.01894,1.18268,1.40961,0.00091949,0.00091949,0.00091949
49,17899.1,0.77808,0.71871,1.18498,0.76035,0.82548,0.76803,0.60512,1.12422,1.17794,1.50748,0.000893648,0.000893648,0.000893648
50,18526.8,0.77062,0.70625,1.18436,0.77721,0.78757,0.78057,0.61142,1.09941,1.09781,1.46307,0.000867754,0.000867754,0.000867754
51,19038.2,0.74034,0.68855,1.15438,0.75988,0.81694,0.76233,0.62225,1.01347,1.18392,1.42915,0.000841835,0.000841835,0.000841835
52,19538.6,0.73963,0.66919,1.15921,0.82609,0.77358,0.79462,0.66917,0.98314,1.15872,1.36863,0.000815916,0.000815916,0.000815916
53,20143.3,0.7493,0.67957,1.16947,0.74298,0.83509,0.80474,0.65644,1.13733,1.17025,1.55224,0.000790022,0.000790022,0.000790022
54,20718.6,0.7249,0.66535,1.14877,0.77842,0.79717,0.80068,0.65141,1.01871,1.22191,1.41785,0.00076418,0.00076418,0.00076418
55,21398.6,0.73742,0.65754,1.1571,0.73291,0.81132,0.76044,0.62372,0.97475,1.266,1.38194,0.000738414,0.000738414,0.000738414
56,22002.6,0.69892,0.6182,1.13355,0.71909,0.83841,0.78363,0.66055,0.97779,1.04421,1.42024,0.000712751,0.000712751,0.000712751
57,22717.1,0.68434,0.60444,1.12425,0.78938,0.83019,0.79126,0.65391,1.03611,1.08069,1.4441,0.000687214,0.000687214,0.000687214
58,23424.3,0.69916,0.61498,1.12325,0.795,0.78663,0.78874,0.64863,0.96449,1.12267,1.35927,0.000661831,0.000661831,0.000661831
59,24249,0.68677,0.60298,1.12005,0.73842,0.83491,0.81374,0.66531,1.02781,1.04588,1.43931,0.000636625,0.000636625,0.000636625
60,25001.5,0.67583,0.58065,1.11737,0.76711,0.85247,0.78407,0.63704,1.07893,1.1483,1.48662,0.000611621,0.000611621,0.000611621
61,25841.7,0.65539,0.56817,1.10268,0.76663,0.77243,0.78784,0.64736,1.03683,1.1233,1.4198,0.000586845,0.000586845,0.000586845
62,26583.1,0.67137,0.58062,1.12157,0.74259,0.83346,0.75601,0.61184,1.09077,1.26217,1.50333,0.00056232,0.00056232,0.00056232
63,27273.2,0.64888,0.57009,1.10627,0.74706,0.75721,0.71932,0.57478,0.96999,1.14599,1.40454,0.000538072,0.000538072,0.000538072
64,27965.1,0.63513,0.55427,1.09547,0.7201,0.78237,0.75692,0.61079,1.0112,1.19144,1.4183,0.000514122,0.000514122,0.000514122
65,28554.1,0.64567,0.54196,1.10039,0.72296,0.83491,0.77461,0.63921,1.05065,1.09607,1.44751,0.000490497,0.000490497,0.000490497
66,29279.9,0.63404,0.53814,1.09609,0.72271,0.79403,0.78083,0.62735,0.97002,1.15158,1.38199,0.000467218,0.000467218,0.000467218
67,30031,0.62262,0.5285,1.08227,0.82827,0.77358,0.7898,0.65062,1.0122,1.08062,1.40987,0.000444309,0.000444309,0.000444309
